hour,activity,duration
08h15-9h00,Café,45'
9h-10h,Plénière,1h
10h-10h45,Table ronde,45'
10h45-11h15,Pause,30'
11h15-12h30,Conférence,1h15
12h30-13h30,Buffet,1h
13h30-14h00,Temps libre,30'
14h00-14h30,Briefing activité,30'
14h30-17h00,Activité,2h30
17h00-18h00,Remise des trophées et pot de clôture,1h
